Wavelength(nm)	Transmittance(%)
300	0.099
302	0.894
304	0.000
306	0.000
308	0.212
310	0.220
312	0.000
314	0.000
316	0.117
318	0.100
320	0.000
322	0.000
324	0.000
326	0.186
328	0.000
330	0.000
332	0.000
334	0.424
336	0.560
338	0.000
340	0.342
342	0.000
344	0.034
346	0.306
348	0.612
350	0.000
352	0.000
354	0.087
356	0.000
358	0.017
360	0.000
362	0.162
364	0.000
366	0.000
368	0.034
370	0.125
372	0.000
374	0.382
376	0.000
378	0.000
380	0.228
382	0.000
384	0.000
386	0.043
388	0.397
390	0.000
392	0.195
394	0.000
396	0.210
398	0.765
400	0.000
402	1.071
404	0.000
406	0.163
408	0.244
410	0.604
412	0.000
414	0.000
416	0.514
418	0.622
420	0.588
422	1.431
424	0.505
426	0.574
428	0.899
430	0.737
432	1.323
434	0.239
436	0.670
438	0.000
440	1.346
442	0.991
444	1.642
446	2.281
448	1.580
450	1.663
452	1.768
454	1.858
456	2.192
458	2.978
460	3.046
462	3.400
464	3.684
466	4.539
468	4.836
470	5.095
472	5.983
474	6.280
476	6.565
478	8.361
480	8.790
482	9.123
484	10.921
486	11.699
488	12.097
490	14.624
492	15.471
494	17.152
496	18.437
498	19.964
500	21.175
502	24.055
504	25.650
506	27.588
508	29.994
510	32.114
512	34.650
514	36.585
516	39.117
518	40.702
520	43.831
522	46.712
524	49.404
526	51.121
528	53.571
530	56.551
532	58.016
534	60.591
536	63.033
538	64.349
540	66.696
542	67.692
544	69.726
546	71.174
548	72.709
550	74.471
552	76.233
554	76.173
556	77.280
558	78.693
560	78.974
562	80.420
564	81.202
566	81.548
568	82.495
570	82.229
572	83.666
574	83.209
576	83.968
578	84.404
580	84.808
582	85.621
584	85.589
586	85.648
588	86.250
590	86.867
592	86.420
594	86.727
596	87.224
598	86.967
600	86.465
602	88.081
604	88.064
606	86.472
608	87.327
610	87.578
612	87.859
614	87.795
616	87.468
618	87.200
620	87.702
622	88.110
624	87.293
626	87.346
628	87.773
630	87.030
632	87.722
634	87.669
636	88.041
638	87.594
640	87.535
642	87.742
644	87.890
646	87.654
648	87.933
650	88.236
652	88.417
654	88.631
656	87.641
658	87.791
660	86.970
662	88.727
664	87.681
666	87.960
668	88.185
670	87.435
672	88.167
674	87.973
676	87.254
678	88.103
680	88.466
682	87.242
684	88.313
686	88.075
688	88.182
690	88.170
692	88.515
694	87.905
696	88.344
698	87.832
700	88.287
702	87.671
704	87.953
706	88.690
708	88.176
710	87.934
712	87.540
714	87.682
716	88.076
718	88.374
720	88.169
722	88.208
724	87.982
726	88.540
728	87.843
730	87.779
732	88.355
734	88.025
736	87.888
738	87.769
740	87.897
742	88.249
744	88.141
746	87.516
748	88.170
750	88.071
752	87.600
754	88.309
756	87.888
758	87.866
760	88.318
762	88.528
764	87.724
766	88.175
768	87.649
770	88.926
772	87.802
774	88.478
776	87.741
778	88.324
780	88.888
782	86.984
784	87.826
786	88.200
788	87.963
790	87.733
792	88.861
794	88.032
796	87.342
798	88.342
800	87.311
802	88.460
804	87.769
806	88.058
808	88.504
810	88.047
812	87.444
814	87.322
816	88.473
818	88.296
820	87.674
822	88.344
824	88.199
826	88.259
828	87.096
830	87.879
832	88.360
834	88.293
836	88.353
838	87.017
840	88.068
842	88.197
844	89.021
846	87.618
848	87.868
850	88.014
852	88.354
854	87.823
856	88.459
858	87.685
860	88.107
862	87.789
864	88.063
866	87.724
868	87.361
870	88.437
872	88.121
874	87.777
876	88.080
878	88.396
880	87.609
882	87.956
884	88.216
886	88.210
888	87.866
890	87.157
892	88.497
894	88.131
896	88.005
898	87.889
900	88.105
