# Instrument: SolarSim-3000
# Operator: lab
# Scan: reverse
# Sample: S2
Voltage(V),Current density(mA/cm2)
0.0000,25.0189
0.0101,25.0337
0.0201,25.0254
0.0302,25.0098
0.0402,25.0035
0.0503,25.0036
0.0603,25.0161
0.0704,24.9933
0.0805,25.0067
0.0905,25.0154
0.1006,24.9980
0.1106,25.0207
0.1207,25.0146
0.1307,25.0577
0.1408,25.0069
0.1508,24.9842
0.1609,24.9856
0.1710,24.9962
0.1810,25.0241
0.1911,24.9861
0.2011,25.0076
0.2112,25.0509
0.2212,24.9186
0.2313,24.9617
0.2414,25.0025
0.2514,25.0069
0.2615,25.0019
0.2715,24.9816
0.2816,25.0140
0.2916,25.0026
0.3017,24.9783
0.3118,25.0667
0.3218,25.0042
0.3319,24.9767
0.3419,24.9902
0.3520,24.9862
0.3620,24.9909
0.3721,24.9107
0.3821,24.9778
0.3922,25.0224
0.4023,24.9569
0.4123,24.9898
0.4224,25.0202
0.4324,25.0170
0.4425,25.0359
0.4525,24.9399
0.4626,24.9801
0.4727,24.9803
0.4827,25.0090
0.4928,25.0229
0.5028,24.9095
0.5129,25.0224
0.5229,24.9461
0.5330,25.0098
0.5431,24.9444
0.5531,24.9942
0.5632,25.0246
0.5732,24.9841
0.5833,24.9941
0.5933,25.0120
0.6034,24.9922
0.6134,24.9851
0.6235,25.0335
0.6336,25.0188
0.6436,24.9783
0.6537,25.0693
0.6637,24.9523
0.6738,25.0140
0.6838,24.9783
0.6939,24.9901
0.7040,25.0071
0.7140,24.9924
0.7241,25.0046
0.7341,24.9395
0.7442,24.9398
0.7542,25.0033
0.7643,24.9557
0.7744,24.9536
0.7844,24.9400
0.7945,25.0218
0.8045,25.0059
0.8146,25.0273
0.8246,24.9546
0.8347,24.9823
0.8447,24.9474
0.8548,25.0039
0.8649,25.0276
0.8749,24.9520
0.8850,25.0239
0.8950,25.0047
0.9051,24.9669
0.9151,24.9093
0.9252,25.0055
0.9353,24.9536
0.9453,24.9290
0.9554,24.9463
0.9654,24.9292
0.9755,24.9381
0.9855,24.8301
0.9956,24.8504
1.0057,24.8003
1.0157,24.7162
1.0258,24.5537
1.0358,24.3813
1.0459,24.2215
1.0559,23.9031
1.0660,23.5047
1.0760,22.9979
1.0861,22.1999
1.0962,21.1157
1.1062,19.7721
1.1163,17.8099
1.1263,15.2636
1.1364,11.6524
1.1464,6.7006
1.1565,-0.0234
1.1666,-9.2297
1.1766,-21.8926
1.1867,-39.1629
1.1967,-62.9030
1.2068,-95.3192
