# Instrument: SolarSim-3000
# Operator: lab
# Scan: reverse
# Sample: S1
Voltage(V),Current density(mA/cm2)
0.0000,25.5923
0.0101,25.6151
0.0202,25.5928
0.0303,25.5899
0.0404,25.5713
0.0504,25.5926
0.0605,25.6321
0.0706,25.6113
0.0807,25.6295
0.0908,25.6057
0.1009,25.6098
0.1110,25.6033
0.1211,25.5476
0.1312,25.6230
0.1412,25.6124
0.1513,25.6119
0.1614,25.5460
0.1715,25.5443
0.1816,25.5697
0.1917,25.5821
0.2018,25.6051
0.2119,25.5944
0.2220,25.6112
0.2320,25.5761
0.2421,25.6044
0.2522,25.6068
0.2623,25.5749
0.2724,25.6461
0.2825,25.6110
0.2926,25.6301
0.3027,25.5753
0.3128,25.5716
0.3229,25.5832
0.3329,25.5901
0.3430,25.6121
0.3531,25.6004
0.3632,25.5793
0.3733,25.5638
0.3834,25.5767
0.3935,25.6288
0.4036,25.5677
0.4137,25.5991
0.4237,25.6043
0.4338,25.5466
0.4439,25.5926
0.4540,25.6301
0.4641,25.5303
0.4742,25.5809
0.4843,25.5871
0.4944,25.5656
0.5045,25.6048
0.5145,25.5878
0.5246,25.5456
0.5347,25.6141
0.5448,25.6092
0.5549,25.6173
0.5650,25.6319
0.5751,25.5994
0.5852,25.5919
0.5953,25.5491
0.6053,25.6064
0.6154,25.5693
0.6255,25.5739
0.6356,25.5493
0.6457,25.5581
0.6558,25.5709
0.6659,25.6253
0.6760,25.5255
0.6861,25.5425
0.6961,25.5932
0.7062,25.6292
0.7163,25.6030
0.7264,25.5284
0.7365,25.5097
0.7466,25.5957
0.7567,25.5627
0.7668,25.5510
0.7769,25.6136
0.7870,25.6171
0.7970,25.5885
0.8071,25.5908
0.8172,25.5961
0.8273,25.6305
0.8374,25.6008
0.8475,25.5972
0.8576,25.5973
0.8677,25.5329
0.8778,25.6171
0.8878,25.6058
0.8979,25.5909
0.9080,25.5130
0.9181,25.5494
0.9282,25.5886
0.9383,25.5020
0.9484,25.5414
0.9585,25.5647
0.9686,25.4772
0.9786,25.5409
0.9887,25.4764
0.9988,25.4105
1.0089,25.3634
1.0190,25.2892
1.0291,25.1582
1.0392,25.0313
1.0493,24.7611
1.0594,24.4725
1.0694,24.1105
1.0795,23.5241
1.0896,22.7350
1.0997,21.7456
1.1098,20.3299
1.1199,18.3110
1.1300,15.5943
1.1401,11.9466
1.1502,6.8953
1.1603,-0.0321
1.1703,-9.4699
1.1804,-22.5487
1.1905,-40.3064
1.2006,-64.8159
1.2107,-98.2914
